,Western Cape,Eastern Cape,Northern Cape,Kwazulu Natal,North West,Gauteng,Mpumalanga,Limpopo
2002,4756,6515,1030,2645,3054,9764,3478,5019
2003,4858,6505,1040,2652,3097,10010,3530,5050
2004,4960,6498,1050,2661,3141,10258,3586,5085
2005,5063,6493,1060,2670,3186,10511,3643,5123
2006,5168,6489,1071,2680,3232,10772,3701,5165
2007,5276,6484,1082,2691,3281,11044,3760,5207
2008,5388,6480,1093,2704,3330,11325,3820,5252
2009,5502,6478,1105,2717,3382,11612,3883,5299
2010,5618,6477,1117,2732,3434,11910,3947,5349
2011,5738,6476,1130,2748,3488,12219,4012,5400
2012,5860,6476,1143,2764,3454,12539,4078,5453
2013,5985,6477,1156,2782,3603,12868,4147,5511
2014,6112,6481,1170,2802,3663,13203,4218,5573
2015,6242,6486,1184,2822,3726,13549,4291,5338
2016,6374,6492,1199,2844,3790,13906,4367,5707
2017,6510,6499,1214,2867,3856,14278,4444,5854
2018,6650,6508,1230,2891,3925,14661,4523,5854
